Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
RAMABHAI VIRCHANDBHAI SOLANKI ,"
 51
        ","
INC
 ","

Virchandbhai Solanki
        ","


12th Pass
 B.Com 2nd From Hemchandra North Gujarat Univerisity Patan
","58,88,000 ~58 Lacs+ ",Self tdBusiness & Farming,Business & Farming,0
RAMANBHAI CHIMANBHAI VASAVA ,"
 67
        ","
IND
 ","

Chimanbhai Vasav
        ","


12th Pass
 TYBA From Gujarat University
","27,96,992 ~27 Lacs+ ",Self tdPension,Housewife,0
RAMANBHAI D. PATEL(STARLINE) ,"
 64
        ","
BJP
 ","

Dhulabhai Patel
        ","


Graduate
 Bachelor Of Science From M G Science College, Pilvai Gujarat University Year 1980
","95,68,13,466 ~95 Crore+ ",Self tdBusiness & Farming,Commission,0
RAMANBHAI PUNJABHAI KHANT ,"
 52
        ","
Bhartiya Jan Parishad
 ","

Punjabhai 
        ","


10th Pass
 SSC Pass
","4,25,000 ~4 Lacs+ ",Self tdAgriculture & Labour,Housewife,0
RAMANLAL ISHWARLAL VORA ,"
 70
        ","
BJP
 ","

Ishwarlal Vora
        ","


Graduate
 BA from vivekanand Arts College ahemdabad, gujarat university in 1975
","2,29,50,295 ~2 Crore+ ","Self tdBusiness, Share Dividend, Agriculture income",Agriculture income,0
RAMCHANDRA BARIA ,"
 38
        ","
IND
 ","

Ramanbhai Manikbhai bariya
        ","


8th Pass
 8th Pass, From Nutan Vidyalaya Halol
","49,46,169 ~49 Lacs+ ",Self tdFarming & Business,Housewife,1
RAMESH JAKHARABHAI KODECHA ,"
 33
        ","
IND
 ","

JAKHARBHAI KODECHA
        ","


5th Pass
 SHREE UNITED SLOT WORKS PANCHYAYRTI PRIMARY SCHOOL
","70,387 ~70 Thou+ ",Self tdLABOR,HOUSEWIFE,0
RAMESHBHAI LAVAJIBHAI DABHI ,"
 61
        ","
IND
 ","

Lavajibhai
        ","


Illiterate
 
","7,46,000 ~7 Lacs+ ",Self tdLabour,House Wife,1
RAMESHBHAI NARANDAS MISTRY ,"
 60
        ","
BJP
 ","

Narandas Mistry
        ","


10th Pass
 11th Pass From The Pioneer Highschool Bharuch Year April 1982
","1,86,00,244 ~1 Crore+ ",Self tdRetail Contract,Cheap Grain Store,2
RAMESHBHAI PARSHOTAMBHAI BARAIYA ,"
 56
        ","
IND
 ","

Parsottambhai Baraiya
        ","


5th Pass
 6th Pass From District Education Council, Amreli
","14,16,500 ~14 Lacs+ ",Self tdTextile Work,NA,0
RAMESHBHAI PUNJABHAI PATNI ,"
 40
        ","
IND
 ","

Punjabhai Dhanabhai Patni
        ","


Literate
 1st Pass
","3,51,380 ~3 Lacs+ ",Self tdAgriculture and Business,Nil,0
RAMESHBHAI RAJABHAI DAKI ,"
 47
        ","
SP
 ","

Rajabhai Daki
        ","


Others
 Diploma In Fine Arts New Progressive Teachers Training College Mehsana In 1997
","17,39,000 ~17 Lacs+ ",Self tdPrivate Contractor,Housewife,0
RAMESHBHAI VIRJIBHAI TILALA ,"
 57
        ","
BJP
 ","

Virajibhai Naranbhai Tilala
        ","


5th Pass
 7th Pass from Shrishpar Primary School In 1977
","1,75,78,99,705 ~175 Crore+ ",Self tdBusinessman,Business,0
RAMESHJI VANAJI MAKVANA ,"
 34
        ","
Garvi Gujarat Party
 ","

Vanaji Mohanji
        ","


8th Pass
 8Th Pass from V.K.  Vaghela Diyodhar, Year- 2009
","2,45,000 ~2 Lacs+ ",Self tdFarming & Social Work,Housewife,0
RAMESHKUMAR KHEMRAJBHAI NABHANI ,"
 52
        ","
AAP
 ","

Khemrajbhai Mohanbhai
        ","


Graduate Professional
  LLB From Hemchandracharya Utter Gujrat Universtiy,Patan Year March-June-2004, B.Com From Hemchandracharya Uttar Gujrat University,Patan March-June 1990
","2,15,55,540 ~2 Crore+ ",Self tdFarming & Lawer,Farming & Small Business,1
RAMESHKUMAR RAMJIBHAI MODIYA ,"
 39
        ","
IND
 ","

Ramjibhai Modiya
        ","


Graduate
 TYBA From Government Arts Commerce College Gandhinagar Gujarat University Ahmedabad Year 2008
","2,92,000 ~2 Lacs+ ",Self tdFarming,Farming,0
RAMESHPRASAD KASHIRAM CHAMAR ,"
 44
        ","
BSP
 ","

Kashiram Chamar
        ","


10th Pass
 10th Pass From  S M R S D K B H S S Jhotari Ghazipur UP.
","23,51,700 ~23 Lacs+ ",Self tdGraphics,NA,0
RAMJUBHAI SHAIKH ,"
 49
        ","
IND
 ","

Banubhai Shaikh
        ","


Illiterate
 Illiterate
","23,000 ~23 Thou+ ",Self tdLabor Work,Housewife,0
RAMSIBHAI LAKHABHAI BHARVAD ,"
 60
        ","
IND
 ","

Lakhabhai
        ","


10th Pass
 10 Th  Pass
","10,38,000 ~10 Lacs+ ",Self td250000,NA,0
RAMSUBHAI BHABHOR ,"
 36
        ","
Bhartiya Tribal Party
 ","

Jogdabhai Bhabhor
        ","


Illiterate
 
","94,48,056 ~94 Lacs+ ","Self tdBusiness, Agriculture",Not Applicable,0
RAMZAN MANSURI (VARISHT PARTRAKAR) ,"
 56
        ","
Log Party
 ","

Bhilubhai Mansuri
        ","


10th Pass
 10th Pass From C.B. Nikumbh Highschool Dhodgav Chopda Maharashtra Year 1983
","1,23,000 ~1 Lacs+ ",Self tdJournalist,Housewife,0
RANCHHODBHAI MAGANBHAI UGHREJA ,"
 50
        ","
IND
 ","

Maganbhai Ughreja
        ","


Literate
 Literate
","9,81,452 ~9 Lacs+ ",Self tdBusiness,NA,0
RANI AZIZ SHAIKH ,"
 37
        ","
Rashtriya Samaj Paksha
 ","

Aziz Shaikh
        ","


10th Pass
 10th Pass From GSEB Year 2011
","5,59,500 ~5 Lacs+ ",Self tdDancing & Singing Teacher,Teacher,0
RANJIT PANCHAL (MUNNABHAI)  ,"
 58
        ","
INC
 ","

Dahyabhai Panchal
        ","


10th Pass
 SSL In 1979 from Gujarat Secondary of Board &amp; Motor Mechanic In 1981 from Narsari Technical 
","53,21,11,096 ~53 Crore+ ","Self tdBuilder & Developer, Contractor, Rent","Builder & Developer, Contractor, Rent",0
RANJITSINH BARAD ,"
 50
        ","
INC
 ","

Barad Karshanbhai
        ","


Graduate
 BA From Mumbai Hindi Vidyapith, Year -2009 And HSC From  Shree Ji School, Bapunagar, Year-1989
","2,11,79,469 ~2 Crore+ ",Self tdPartner Of Religious Industries,NA,0
RASHID DADAMIYA SHAIKH ,"
 48
        ","
IND
 ","

Dadamiya Shaikh
        ","


8th Pass
 8th Pass Nagar Primary School Rajkot Linkhyat Surat Year 1990 
","8,000 ~8 Thou+ ",Self tdJob,House Wife ,0
RASHMITABEN DUSHYANTSINH CHAUHAN ,"
 36
        ","
INC
 ","

Dushyantisnh Chauhan
        ","


10th Pass
 10th Pass From Jivanpath Highschool Umarpur &amp; Education Board Gandhinagar, Year March-April 2002
","9,37,64,859 ~9 Crore+ ",Self tdHousewife,Farming-Business,0
RASULBHAI DOLUBHAI RATHOD ,"
 67
        ","
IND
 ","

Dolubhai Rathod
        ","


Literate
 4th Pass From Gomatipur Mun. School, Gomatipur, Ahmedabad, Gujarat Sec. &amp; Higher Sec. Board, Year-1965
","11,000 ~11 Thou+ ",Self tdLabour Income,Nil,0
RATHAVA SEVAJIBHAI BHILABHAI ,"
 73
        ","
Praja Vijay Paksh
 ","

Rathava Leelabhai
        ","


Literate
 2nd Pass from Umarwan School in Year 1961
","5,94,200 ~5 Lacs+ ",Self tdAgriculture & Social Work,Housewife,0
RATHOD AMBABHAI MAYAJAR ,"
 47
        ","
IND
 ","

Rathod Myajar Vasabhai
        ","


Literate
 3rd Pass Rapar Primary School
","12,10,000 ~12 Lacs+ ",Self tdLabour Work, House Wife,1
RATHOD ASHOKBHAI GAMBHIRBHAI ,"
 50
        ","
IND
 ","

Gambhirbhai
        ","


5th Pass
 7th pass from primary school
","1,63,609 ~1 Lacs+ ",Self tdJob,Nil,0
RATHOD BHARATBHAI RAVJIBHAI ,"
 48
        ","
IND
 ","

Ravjibhai Lakabhai Rathod
        ","


8th Pass
 9th std Pass in 1995 shri Siddharth Vidhayalay Dholka
","5,35,000 ~5 Lacs+ ",Self tdSalary ,NA,0
RATHOD BHAVINKUMAR SHANTILAL ,"
 33
        ","
IND
 ","

Rathod Shantilal Gopalbhai
        ","


Graduate Professional
 BA LLB from Saurashtra University in Year 2014
","2,15,015 ~2 Lacs+ ",Self tdAdvocate,Anganwadi Worker,3
RATHOD DINESHKUMAR LALLUBHAI ,"
 39
        ","
IND
 ","

LALLUBHAI RATHOD
        ","


8th Pass
 8th Pass B N J S HIGH SCHOOL BORDALI IN 2005
","7,19,877 ~7 Lacs+ ",Self tdSERVICE,HOUSEWIFE,0
RATHOD HASMUKHBHAI KANUBHAI ,"
 41
        ","
IND
 ","

Kanubhai Rathod
        ","


12th Pass
 12th Pass Shree D.J. Vaghela Higher Secondary School Ahmedabad  2001
","14,00,000 ~14 Lacs+ ",Self tdVideo Graphi and Travels ,House Wife ,0
RATHOD KANKUBEN MULJIBHAI ,"
 56
        ","
SDPI
 ","

Muljibhai
        ","


8th Pass
 9th from Jayesh Education high school, thakkarbapanagar ahmedabad 1987
","12,72,709 ~12 Lacs+ ",Self tdLabour,Not Applicable,1
RATHOD MANUBHAI KANJIBHAI ,"
 66
        ","
IND
 ","

Kanjibhai
        ","


10th Pass
 SSC Pass 1976
","38,10,000 ~38 Lacs+ ",Self tdPension,Pension,0
RATHOD MAVJI BHEMAJI ,"
 54
        ","
Jan Sewa Driver Party
 ","

Bhemaji Rathod
        ","


5th Pass
 5th Pass From National Institute of Open Schooling Aao Under Mhrd govt. Of India
","7,72,223 ~7 Lacs+ ",Self tdFarming,Housewife,0
RATHOD NARVARSINH HATHISINH ,"
 75
        ","
Praja Vijay Paksh
 ","

Hathisingh Virsingh Rathod
        ","


10th Pass
 Old S.S.C. Pass ,From J H Mehta Highschool,Santrampur Year-1966
","32,95,500 ~32 Lacs+ ",Self tdFarming & Pensioner,NA,0
RATHOD NATVARSINH PUNJABHAI ,"
 58
        ","
AAP
 ","

Punjabhai Rathod
        ","


10th Pass
 10th Pass From V.M Bhagat &amp; Sonawala High School  Nadiyad Year-1980 
","20,49,518 ~20 Lacs+ ",Self tdPenshanar,NA,0
RATHOD PRAVINBHAI JINABHAI ,"
 50
        ","
INC
 ","

Jainabhai Rathod
        ","


10th Pass
 SSC pass in 2012 Unnati lok school  jamwali, bhavnagar
","1,29,69,109 ~1 Crore+ ",Self tdAgriculture,Housewife,0
RATHOD SUKHDEVBHAI MOHANBHAI ,"
 28
        ","
IND
 ","

Mohanbhai Rathod
        ","


10th Pass
 11th Fail Shri Karansinghji Highschool Rajkot Year 2010
","7,00,000 ~7 Lacs+ ",Self tdProperty Sale And Purchase Business,Unmarried,0
RATHOD VALJIBHAI BECHARBHAI ,"
 48
        ","
IND
 ","

Becharbhai
        ","


Literate
 4th Pass
","6,80,000 ~6 Lacs+ ",Self tdLabour Work,Spouse ,0
RATHOD YALPESHKUMAR PRAVINBHAI ,"
 25
        ","
BSP
 ","

Pravinbhai Rathod
        ","


Post Graduate
 M.Sc in 2022, B.com from Gujarat university
","1,39,500 ~1 Lacs+ ","Self tdPhotographer, Rent, Designer",Nil,0
RATHOD YOGESHBHAI JETHABHAI ,"
 35
        ","
IND
 ","

Jethabhai Kanjibhai
        ","


5th Pass
 8th Failed
","52,000 ~52 Thou+ ",Self tdLabor,NA,0
RATHVA DEVLABHAI BHULABHAI ,"
 53
        ","
Praja Vijay Paksh
 ","

Rathva Bhulabhai
        ","


5th Pass
 5Th Pass From Shree Ashram School, Ta. Dist. Chhotaudepur, Year- 1980
","15,61,000 ~15 Lacs+ ",Self td45000,NA,0
RATHVA FURKANBHAI BALJIBHAI ,"
 52
        ","
Bhartiya Tribal Party
 ","

Baljibhai Chitubhai Rathva
        ","


Literate
 1st Pass From Raisingpura Primary School
","8,20,000 ~8 Lacs+ ",Self tdFarming,Housewife,0
RATHVA GIRMAABHAI MATHURBHAI ,"
 47
        ","
Bhartiya Tribal Party
 ","

Rathva Mathurbhai
        ","


10th Pass
 10 th
","5,73,000 ~5 Lacs+ ",Self td45150,NA,0
RATHVA HIRUBHAI DARJIBHAI ,"
 57
        ","
Pachchasi Parivartan Samaj Party
 ","

Darjibhai
        ","


Literate
 4th Pass
","26,08,000 ~26 Lacs+ ",Self tdBusiness ,NA,0
RATHWA JAYANTIBHAI SAVJIBHAI ,"
 47
        ","
BJP
 ","

Rathva Savajibhai Nayakdabhai
        ","


Graduate
 FY BA S.N College Chottaudepur Gujarat Univertsity 
","27,44,881 ~27 Lacs+ ",Self tdAgriculture and Animal Husbandry,House Wife and Social Work,0
RATHWA NAMALABHAI (NARENDRABHAI) GURJIBHAI ,"
 39
        ","
Bhartiya Tribal Party
 ","

Gurjibhai Rathwa
        ","


8th Pass
 9th Pass From Dabhoi Dayaram Kedavni Mandal Year 1999
","21,97,000 ~21 Lacs+ ",Self tdFarming/ Labor,Housewife,2
RATHWA NEVSINGBHAI CHHAGANBHAI ,"
 69
        ","
Pachchasi Parivartan Samaj Party
 ","

Chhaganbhai
        ","


Literate
 4th Pass from Tadmachhala, Rodadha, Primary School, Year, 1980
","20,89,000 ~20 Lacs+ ",Self tdFarming,Housewife,1
RATHWA RADHIKABEN AMARSINGHBHAI ,"
 42
        ","
AAP
 ","

Amarshinghbhai Rathva
        ","


Graduate Professional
 Bachler of Hotel Management Vivekanand Institute of Hotel and Tourism Management Rajkot Sauhrashtra University   
","26,94,130 ~26 Lacs+ ",Self tdHouse Wife,NA,2
RATHWA SANGRAMSINH NARANBHAI ,"
 41
        ","
INC
 ","

Naranbhai Jemalbhai Rathwa
        ","


Post Graduate
 MBA Pass From Bharati Vidyapetha, Dim, University Pune (Maharashtra)- Year-2006 April-May
","1,84,70,537 ~1 Crore+ ","Self tdFarming , Business  And Social Worker",NA,2
RATILAL VAJIRBHAI THAKRYA ,"
 72
        ","
BSP
 ","

Vajirbhai Thakrya
        ","


8th Pass
 8th Pass From Sarvajanik Madhyamik School Virval Dharampur Year 1965
","33,35,000 ~33 Lacs+ ",Self tdAgriculture,House Wife ,0
RAVAL ANANDKUMAR MANILAL ,"
 41
        ","
IND
 ","

Manilal
        ","


8th Pass
 8th Pass, From I.M.J.Sarv vidyalaya, Balol,Taluka,District-Mehsana Year-1995
","27,74,000 ~27 Lacs+ ",Self td360000 Year Income,NA,0
RAVAL BHURABHAI MOTIBHAI ,"
 63
        ","
SP
 ","

Motibhai Raval
        ","


Illiterate
 Illiterate
","77,000 ~77 Thou+ ",Self tdLabour,NA,9
RAVAT HARISHBHAI SHAKRABHAI ,"
 59
        ","
Garvi Gujarat Party
 ","

","


8th Pass
 8th Pass From Gyanyagya High School Shahpur, Ahmedabad, Year-1982
","9,31,000 ~9 Lacs+ ",Self tdLabour Work Rs.150000/- Yearly,House Wife,0
RAVI DHANANI ,"
 30
        ","
AAP
 ","

Hasmukhbhai Dhanani
        ","


Graduate
 B Com 5th Semester Pass from Saurashtra University In 2015
","10,28,500 ~10 Lacs+ ",Self tdAgricultural,NA,0
RAVJIBHAI SOMABHAI VAGHELA ,"
 58
        ","
AAP
 ","

Somabhai Nagarbhai Vaghela 
        ","


10th Pass
 SSC From Bharti Vinay Mandir Chaklasi Year-October-1979
","45,29,151 ~45 Lacs+ ",Self tdAgriculture ,NA,0
RAVJIBHAI VALLABHBHAI KALIYA ,"
 32
        ","
Vyavastha Parivartan Party
 ","

Vallabhbhai
        ","


8th Pass
 9th pass from nutan school, bhavnagar in 2006
","27,35,000 ~27 Lacs+ ",Self td180000/- yearly income,Nil,0
RAYBOLE PANJAB ,"
 50
        ","
IND
 ","

Janrav Panjab
        ","


10th Pass
 11th Pass From Lonkar Vidyalay Babni Hariyapur Amravati Maharashtra
","5,06,000 ~5 Lacs+ ",Self tdSmall Business,Business,0
RAYDHANBHAI GANDABHAI KUMARKHANIYA ,"
 40
        ","
IND
 ","

Gandabhai
        ","


5th Pass
 5th Pass From Mesawada, Year-1994
","32,07,287 ~32 Lacs+ ",Self tdRs.55000/- Yearly,Nil,0
REKHABEN SATISHBHAI PATEL ,"
 45
        ","
IND
 ","

Satishbhai
        ","


Illiterate
 
","10,95,000 ~10 Lacs+ ",Self tdHouse Wife,Expired,0
RITABEN KETANKUMAR PATEL ,"
 39
        ","
BJP
 ","

Ketnakumar Dineshbhai Patel
        ","


Post Graduate
 M.Com from Gujarat University in Year 2006, PGDCA from Hemchandra North Gujarat University in Year 2007
","20,74,82,027 ~20 Crore+ ",Self tdBusiness,Business,0
RITESHKUMAR RAMANBHAI VASAVA ,"
 46
        ","
BJP
 ","

Ramanbhai Vasava
        ","


8th Pass
 9th Pass Shri Indrajeet Vidyalay Umari In Year 1991
","2,04,17,879 ~2 Crore+ ",Self tdAgriculture,Agriculture/House wife,0
RIVASINH HARDEVSINH SOLANKI (RIVABA RAVINDRASINH JADEJA) ,"
 32
        ","
BJP
 ","

Ravindrasingh Aniruddhasingh Jadeja
        ","


10th Pass
 10th Pass From Swami Vivekananda Vidyamandir, Rajkot, Year-2006 , Diploma in Mechanical Aatamiya Collage, Rajkot. Year-2011, And B.E. Mechanical Gujarat Technology University, Ahmadabad, Year-2015 
","97,35,59,222 ~97 Crore+ ",Self tdBusiness,"Business, Rent & Intrest",0
ROBINSONBHAI SIMONBHAI CHAUHAN ,"
 54
        ","
Loktantrik Rashrtavadi Party
 ","

Chimanbhai Chauhan
        ","


Graduate Professional
 LLB From I M Nanavati Law College Ahmedabad Gujarat University Year 1996
","91,587 ~91 Thou+ ",Self tdLawyer,Housewife,0
ROHIT MAHESHKUMAR GOVINDBHAI ,"
 41
        ","
BSP
 ","

Rohit Govindbhai
        ","


12th Pass
 12th pass from Secondary Education Board Gandhinagar
","7,00,000 ~7 Lacs+ ",Self tdAgent-LIC,House Wife,0
ROHIT NAVINBHAI KRUSHNKANT ,"
 35
        ","
IND
 ","

Navinbhai Krushnkant
        ","


8th Pass
 9th Pass
","2,00,000 ~2 Lacs+ ",Self tdSalary,NA,0
ROHIT SENMA ALIAS NAGJI ,"
 32
        ","
IND
 ","

Pratapbhai Senma
        ","


10th Pass
 10th Pass From Gurukul Vidyavihar Hansapur, Year-31-05-2007
","20,55,000 ~20 Lacs+ ",Self tdNA,NA,0
ROHITBHAI VINUBHAI BHUVA ,"
 39
        ","
AAP
 ","

Vinubhai Bhuva
        ","


8th Pass
 9Th Pass From Shreeji School, Jetpur, Year 1999
","8,01,334 ~8 Lacs+ ",Self tdFarming,Housewife,0
ROSHANALI IBRAHIM SANDHANI ,"
 42
        ","
SDPI
 ","

Ibrahim Hasam Sandhni
        ","


5th Pass
 5th Pass from Shri Nagalpur Panchayti Primary School in year 1992 Anjar (Kutch)
","8,45,850 ~8 Lacs+ ",Self tdCivil Contractor,NA,0
RUPALBA MOHABATSINH CHAUHAN ,"
 26
        ","
Garvi Gujarat Party
 ","

Chauhan Mahobtsinh
        ","


8th Pass
 SSC Fail in March 2017 from Gujarat Secondary &amp; Higher Secondary Education Board, GandhiNagar
","3,10,500 ~3 Lacs+ ",Self tdNIL,NIL,0
RUPSIBHAI BABUBHAI BHAGORA ,"
 61
        ","
AAP
 ","

Babubhai Bhagora
        ","


Graduate
 B.A. From Gujrat University, Gujrat In April-1983
","40,93,051 ~40 Lacs+ ",Self tdFarming,Pension (Govt),0
RUSHIKESH GANESHBHAI PATEL ,"
 61
        ","
BJP
 ","

Ganeshbhai Patel
        ","


12th Pass
 Diploma Civil Engineering From K D Polytechnic Patan April 1982, HSC From Raj P T Patel Science College Vallabh Vidhyanagar Year April 1979, New SSC From B M Patel Highschool Jhalod Year April 1977
","15,73,84,495 ~15 Crore+ ",Self tdBusiness & Farming,Housewife & Farming,1
RUTVIJ DILIPBHAI JOSHI ,"
 42
        ","
INC
 ","

Dilipbhai Joshi
        ","


12th Pass
 B.A From M.S. University, Vadodara. Year-2010
","1,00,61,639 ~1 Crore+ ","Self td1) Head of Vadodara City Congress , 2) Consulting ",Job (Private Company),2
SABIRABIBI MOHAMMAD YUSUF SHAIKH ,"
 54
        ","
IND
 ","

Mohammad Yusuf Sheikh
        ","


Literate
 4th Pass Nagar Primary School Surat
","15,000 ~15 Thou+ ",Self tdHouse Wife,Rikshaw Driver,0
SABIRALIKHAN PATHAN ,"
 48
        ","
IND
 ","

Sahebdalikhan Pathan
        ","


12th Pass
 12th Pass, Year-1996
","16,58,000 ~16 Lacs+ ",Self tdPinka Roadways & Contractor,NA,0
SABIRBHAI KABLIWALA ,"
 58
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Abdulkarim
        ","


8th Pass
 8th Pass from Anjuman God Limra Ahmedabad In Year 1978
","5,51,10,857 ~5 Crore+ ",Self tdDirector of Shaya Paper Pvt. Ltd.,Handicraft,1
SADHU DEVENDARKUMAR SITARAMDAS ,"
 38
        ","
Gujarat Nav Nirman Sena
 ","

Sadhu Sitaramdas Keshavdas
        ","


8th Pass
 9th Pass From  Radhanpur
","75,000 ~75 Thou+ ",Self tdAnimal Husbandry,NA,0
SADHU MAYARAM KARSANDAS ,"
 53
        ","
IND
 ","

Sadhu Karsandas
        ","


5th Pass
 7th Pass
","1,00,000 ~1 Lacs+ ",Self tdLabour,Housewife,0
SADRU U. BELIM ,"
 53
        ","
IND
 ","

Usmanmiya Belim
        ","


10th Pass
 Std. 10th Pass From S.M.Patel Vidyalaya At.Alindra Taluka-Nadiad District-Kheda In 1989
","37,40,000 ~37 Lacs+ ",Self tdJournalist,Housewife,0
SAGARBHAI HARAJIBHAI RABARI ,"
 55
        ","
AAP
 ","

Harjibhai Rabari
        ","


Graduate
 B.A. From Nav Gujarat College, Gujarat University In  Year-1989
","89,90,014 ~89 Lacs+ ",Self tdAgriculture & Open Space Lease,NA,0
SAGTHIYA SURESHKUMAR GOVINDBHAI ,"
 38
        ","
CPI
 ","

Govindbhai Sagthiya
        ","


10th Pass
 10th from Ramnath Para Highschool, Rajkot
","3,19,000 ~3 Lacs+ ",Self tdLabor Income,Homemaker,0
SAHDEV VASAVA (ADVOCATE) ,"
 29
        ","
BSP
 ","

Manharbhai Vasava
        ","


Graduate Professional
 B.A. L.L.B. In 2020  from V.N.S.G. University Surat
","55,700 ~55 Thou+ ",Self tdAdvocasy,N.A.,0
SAIYAD HASAMSHA UMARSHA ,"
 39
        ","
IND
 ","

Saiyad Umarsha Amadsha
        ","


10th Pass
 7th Pass Gujarati
","2,70,562 ~2 Lacs+ ",Self tdLabour Work,Nil,0
SAIYAD JUSABSHA MAMADSHA ,"
 42
        ","
BSP
 ","

Mamadsha
        ","


5th Pass
 6th Pass from Shri Panchayati Sanyasi Bhuj- Kutch School-7 In 1995
","3,09,000 ~3 Lacs+ ",Self tdDriving,NA,0
SAIYAD MEHMUD ,"
 65
        ","
IND
 ","

Saiyad Ahmed
        ","


8th Pass
 9th Pass From Maharashtra ATT Highschool
","1,20,000 ~1 Lacs+ ",Self tdPress Media,Housewife,0
SAIYAD NAUSHAD RAHIMMIYA KADRI ,"
 27
        ","
IND
 ","

Rahimmiya Kadri Saiyad
        ","


Graduate Professional
 B.A, LLB Advocate From Saurashtra University Rajkot Year 2018
","1,16,500 ~1 Lacs+ ",Self tdLawyer,NA,0
SAIYAD PIRHUSEN ,"
 47
        ","
IND
 ","

Usmanmiyan
        ","


8th Pass
 8th Pass From Public School, Sarkhej, Year-1991
","1,48,62,223 ~1 Crore+ ",Self tdBusiness,Nil,0
SAIYAD SURAIYA LATIF ,"
 50
        ","
IND
 ","

Latif
        ","


Literate
 2nd Pass From Urdu School Dodaicha Maharashtra 1980
","51,000 ~51 Thou+ ",Self tdBusiness,NA,0
SAIYED SAFIKALI RASHIDALI ,"
 32
        ","
IND
 ","

Rashidali
        ","


Others
 Diploma Civil From Godhra
","10,33,850 ~10 Lacs+ ","Self tdFarming,Business",NA,0
SAJID MEHMUD KOLA ,"
 49
        ","
IND
 ","

Mehmud Kola
        ","


Illiterate
 
","10,63,000 ~10 Lacs+ ",Self tdAuto Driver,NA,0
SAJIDHUSEN SABBIRMIYA MALEK ,"
 29
        ","
IND
 ","

Sabbirmiya Malek
        ","


12th Pass
 12th Pass From Nadiad In Year 2011
","1,70,500 ~1 Lacs+ ",Self tdBusiness,NA,0
SAJIDKHAN HUSENMAHAMMADKHAN REHAN ,"
 49
        ","
AAP
 ","

Husenmahammad Khan Rehan
        ","


Post Graduate
 Post Graduate in Training &amp; Human Resource University-The Innovative Institute of Management and Engineering Studies Vadodara, Year-2004-05
","35,33,180 ~35 Lacs+ ",Self tdFarmer,House Wife,1
SAKIL MAHAMAD SAMA ,"
 29
        ","
All India Majlis-E-Ittehadul Muslimeen
 ","

Mahamad Sama
        ","


12th Pass
 12th pass Govt. school in 2011 bhuj kutch
","11,46,000 ~11 Lacs+ ",Self tdBusiness,Not Applicable,1
SALMANKHAN SAMIKHAN PATHAN ,"
 55
        ","
IND
 ","

Samikhan Yusufkhan Pathan
        ","


Literate
 4th Pass From Bapunagar Urdu School
","72,000 ~72 Thou+ ",Self tdLabour,NO,0
SAMEJA ABDULKARIM AMAD ,"
 47
        ","
IND
 ","

Amad
        ","


8th Pass
 8th Pass from The Muslim Education and Welfare Society High School Bhuj
","16,33,600 ~16 Lacs+ ",Self tdDriving,Housewife,4
SAMI AKHTAR ISAF MOHAMMAD SHAIKH ,"
 35
        ","
IND
 ","

Isaph Mohammad Shaikh
        ","


5th Pass
 5th from Govt. Primary School, Barahi Chintawan Sheikhkola
","2,75,000 ~2 Lacs+ ",Self td200000,NA,0
SAMIR FAKRUDDIN SHAIKH ,"
 36
        ","
IND
 ","

Fakruddin Shaikh
        ","


8th Pass
 10th Fail from Aglo Urdu High School Surat
","6,500 ~6 Thou+ ",Self tdWood Worker,NA,0
SAMIR RAJESHKUMAR UPADHYAY ,"
 41
        ","
Saurashtra Janta Paksha
 ","

Rajeshkumar Upadhyay
        ","


8th Pass
 9th passed from Shanti Niketan Highschool Rabari Colony Odhav Ahmedabad 
","51,200 ~51 Thou+ ",Self tdBusiness and Security Guard,House wife,2
SAMIRBHAI JANAKBHAI NAIK ,"
 36
        ","
Bhartiya Tribal Party
 ","

Janakbhai Naik
        ","


10th Pass
 Std 10th
","13,77,840 ~13 Lacs+ ",Self tdFarmer,"Tailor Work, House Wife",0
SAMIRBHAI JUMABHAI MAHESHWARI ,"
 46
        ","
IND
 ","

Jumabhai Maheshwari
        ","


5th Pass
 8th Fail from Sheth Gokaldas Hans raj Trantukar School, Mandvi in Year 1991
","2,44,327 ~2 Lacs+ ",Self tdColour Work and Journalist,Housewife,0
SAMRAT JAYRAJ PRABHUBHAI ,"
 39
        ","
BSP
 ","

Prabhubhai Laljibhai Vaghela
        ","


8th Pass
 10th Fail From GramshalaVill Bharti, Amrapur, Gujarat Secondary Board, Gandhinagar 2000
","8,14,144 ~8 Lacs+ ",Self tdLabour Work,Labour Work,0
SANDIP DESAI ,"
 50
        ","
BJP
 ","

Jayantilal Daultray Desai
        ","


12th Pass
 Bachelor of Arts - First Year From M. T. B. Arts Collage, Athawalines, Surat. Year 1992
","9,51,86,681 ~9 Crore+ ","Self tdFarming, Animal Husbandry(Partnership)",Business Partnership,0
SANDIPSINH VIKRAMSINH RAJ ,"
 36
        ","
AAP
 ","

Vikramsingh 
        ","


Graduate
 B.A. From Arts &amp; Commerce College, Taluka-Padara, District Vadodara  In 2011
","16,25,000 ~16 Lacs+ ",Self tdBusiness,Housewife,0
