Candidate name,Candidate Age,Candidate Party,So/Wo/Do,Candidate Educations,Candidate A&L,Candidate Self Professions,Candidate Spouse Professions,Candidate Criminal Cases
KEYUR PRAVINBHAI PATEL ,"
 42
        ","
IND
 ","

Pravinbhai Patel
        ","


12th Pass
 HSC from Mukt Jeevan High School, Isanpur in Year 1996
","25,79,103 ~25 Lacs+ ",Self tdBusiness,Housewife,0
KHABAD BACHUBHAI MAGANBHAI ,"
 67
        ","
BJP
 ","

Maganbhai Motibhai Khabad
        ","


10th Pass
 11th Pass From (Old SSC) Sarvajanik Highschool Dhanpur Year 1973
","92,85,295 ~92 Lacs+ ","Self tdFarming Income, MLA Salary",No,0
KHALIFA ABDULRAZAK AJIJ ,"
 45
        ","
IND
 ","

Ajij Khalifa 
        ","


5th Pass
 6th from Nagar Primary Education Board Surat
","6,72,157 ~6 Lacs+ ",Self tdRickshaw Driving,NA,0
KHALIK YUSUF SHAIKH ,"
 37
        ","
IND
 ","

Yusuf Shaikh
        ","


Illiterate
 
","20,000 ~20 Thou+ ",Self tdLabour Work,House Wife ,0
KHAMBHALIYA KISHORBHAI RAMNIKBHAI ,"
 39
        ","
IND
 ","

Ramnikbhai khambhaliya
        ","


Literate
 4th From Sarkari Primary School Year 1993
","55,000 ~55 Thou+ ",Self tdLabour Work,NA,0
KHANT ASHVINBHAI RAMANBHAI ,"
 29
        ","
Garvi Gujarat Party
 ","

Ramanbhai  Khant
        ","


Graduate
 B.A From Gujarat University Ahmedabad Year-2018
","15,44,158 ~15 Lacs+ ",Self tdBusiness,Housewife,0
KHANT BHUPATBHAI DANLABHAI ,"
 48
        ","
Gujarat Nav Nirman Sena
 ","

Danlabhai
        ","


12th Pass
 12Th Pass From Shree M.M. Mehta High School, Ubhran in 1993
","34,10,662 ~34 Lacs+ ","Self tdFarming, Pensioner ",Housewife,0
KHANT SHAKANBHAI MOTIBHAI ,"
 62
        ","
IND
 ","

Motibhai Galabhai Khant
        ","


Others
 Diploma In Civil Engineering From Government Polytechnic College Dahod  In  1981
","20,58,80,982 ~20 Crore+ ",Self tdFarming & Party Plot Income,Farming & Housewife,1
KHANT SNEHLATTABEN GOVINDKUMAR ,"
 31
        ","
INC
 ","

Govindkumar 
        ","


Graduate Professional
 B.Ed From Sardar Patel University, Shri I.J Patel B. And Collage. Year-2014
","1,75,62,794 ~1 Crore+ ",Self tdFarming And Housewife,"Farming, Business And Proprietor of Savitaben And Suns Petrolium, Tuva",0
KHATUBHAI ,"
 72
        ","
INC
 ","

GulabBhai
        ","


10th Pass
 10th Pass from SJ Dave High School, Shehra
","1,97,49,207 ~1 Crore+ ",Self tdAgriculture,Agriculture,0
